Date,Close/Last,Volume,Open,High,Low
5/7/2021,130.21,78973270,130.85,131.26,129.48
5/6/2021,129.74,78128330,127.89,129.75,127.13
5/5/2021,128.10,84000900,129.20,130.45,127.97
5/4/2021,127.85,137564700,131.19,131.49,126.70
5/3/2021,132.54,75135100,132.04,134.07,131.83
4/30/2021,131.46,109839500,131.78,133.56,131.07
4/29/2021,133.48,151101000,136.47,137.07,132.45
4/28/2021,133.58,107760100,134.31,135.02,133.08
4/27/2021,134.39,66015800,135.01,135.41,134.11
4/26/2021,134.72,66905070,134.83,135.06,133.56
4/23/2021,134.32,78756780,132.16,135.12,132.16
4/22/2021,131.94,84566460,133.04,134.15,131.41
4/21/2021,133.50,68847140,132.36,133.75,131.30
4/20/2021,133.11,94812350,135.02,135.53,131.81
4/19/2021,134.84,94264220,133.51,135.47,133.34
4/16/2021,134.16,84922390,134.30,134.67,133.28
4/15/2021,134.50,89347100,133.82,135.00,133.64
4/14/2021,132.03,87222780,134.94,135.00,131.66
4/13/2021,134.43,91266550,132.44,134.66,131.93
4/12/2021,131.24,91419980,132.52,132.85,130.63
4/9/2021,133.00,106686700,129.80,133.04,129.47
4/8/2021,130.36,88844590,128.95,130.39,128.52
4/7/2021,127.90,83466720,125.83,127.92,125.14
4/6/2021,126.21,80171250,126.50,127.13,125.65
4/5/2021,125.90,88651180,123.87,126.16,123.07
4/1/2021,123.00,75089130,123.66,124.18,122.49
3/31/2021,122.15,118323800,121.65,123.52,121.15
3/30/2021,119.90,85671920,120.11,120.40,118.86
3/29/2021,121.39,80819200,121.65,122.58,120.73
3/26/2021,121.21,94071230,120.35,121.48,118.92
3/25/2021,120.59,98844680,119.54,121.66,119.00
3/24/2021,120.09,88530490,122.82,122.90,120.07
3/23/2021,122.54,95467140,123.33,124.24,122.14
3/22/2021,123.39,111912300,120.33,123.87,120.26
3/19/2021,119.99,185549500,119.90,121.43,119.68
3/18/2021,120.53,121469800,122.88,123.18,120.32
3/17/2021,124.76,111932600,124.05,125.86,122.34
3/16/2021,125.57,115227900,125.70,127.22,124.72
3/15/2021,123.99,92590560,121.41,124.00,120.42
3/12/2021,121.03,88105050,120.40,121.17,119.16
3/11/2021,121.96,103026500,122.54,123.21,121.26
3/10/2021,119.98,111943300,121.69,122.17,119.45
3/9/2021,121.09,129525800,119.03,122.06,118.79
3/8/2021,116.36,154376600,120.93,121.00,116.21
3/5/2021,121.42,153766600,120.98,121.94,117.57
3/4/2021,120.13,178155000,121.75,123.60,118.62
3/3/2021,122.06,112966300,124.81,125.71,121.84
3/2/2021,125.12,102260900,128.41,128.72,125.01
3/1/2021,127.79,116307900,123.75,127.93,122.79
2/26/2021,121.26,164560400,122.59,124.85,121.20
2/25/2021,120.99,148199500,124.68,126.46,120.54
2/24/2021,125.35,111039900,124.94,125.56,122.23
2/23/2021,125.86,158273000,123.76,126.71,118.39
2/22/2021,126.00,103916400,128.01,129.72,125.60
2/19/2021,129.87,87668830,130.24,130.71,128.80
2/18/2021,129.71,96856750,129.20,130.00,127.41
2/17/2021,130.84,98085250,131.25,132.22,129.47
2/16/2021,133.19,80576320,135.49,136.01,132.79
2/12/2021,135.37,60145130,134.35,135.53,133.69
2/11/2021,135.13,64280030,135.90,136.39,133.77
2/10/2021,135.39,73046560,136.48,136.99,134.40
2/9/2021,136.01,76774210,136.62,137.88,135.85
2/8/2021,136.91,71297210,136.03,136.96,134.92
2/5/2021,136.76,75693830,137.35,137.42,135.86
2/4/2021,137.39,84183060,136.30,137.40,134.59
2/3/2021,133.94,89880940,135.76,135.77,133.61
2/2/2021,134.99,83305370,135.73,136.31,134.61
2/1/2021,134.14,106239800,133.75,135.38,130.93
1/29/2021,131.96,177523800,135.83,136.74,130.21
1/28/2021,137.09,142621100,139.52,141.99,136.70
1/27/2021,142.06,140843800,143.43,144.30,140.41
1/26/2021,143.16,98390560,143.60,144.30,141.37
1/25/2021,142.92,157611700,143.07,145.09,136.54
1/22/2021,139.07,114459400,136.28,139.85,135.02
1/21/2021,136.87,120529500,133.80,139.67,133.59
1/20/2021,132.03,104319500,128.66,132.49,128.55
1/19/2021,127.83,90757330,127.78,128.71,126.94
1/15/2021,127.14,111598500,128.78,130.22,127.00
1/14/2021,128.91,90221760,130.80,131.00,128.76
1/13/2021,130.89,88636830,128.76,131.45,128.49
1/12/2021,128.80,91951150,128.50,129.69,126.86
1/11/2021,128.98,100620900,129.19,130.17,128.50
1/8/2021,132.05,105158200,132.43,132.63,130.23
1/7/2021,130.92,109578200,128.36,131.63,127.86
1/6/2021,126.60,155088000,127.72,131.05,126.38
1/5/2021,131.01,97664900,128.89,131.74,128.43
1/4/2021,129.41,143301900,133.52,133.61,126.76
12/31/2020,132.69,99116590,134.08,134.74,131.72
12/30/2020,133.72,96452120,135.58,135.99,133.40
12/29/2020,134.87,121047300,138.05,138.79,134.34
12/28/2020,136.69,124486200,133.99,137.34,133.51
12/24/2020,131.97,54930060,131.32,133.46,131.10
12/23/2020,130.96,88223690,132.16,132.43,130.78
12/22/2020,131.88,169351800,131.61,134.41,129.65
12/21/2020,128.23,121251600,125.02,128.31,123.45
12/18/2020,126.66,192541500,128.96,129.10,126.12
12/17/2020,128.70,94359810,128.90,129.58,128.05
12/16/2020,127.81,98208590,127.41,128.37,126.56
12/15/2020,127.88,157572300,124.34,127.90,124.13
12/14/2020,121.78,79075990,122.60,123.35,121.54
12/11/2020,122.41,86939790,122.43,122.76,120.55
12/10/2020,123.24,81312170,120.50,123.87,120.15
12/9/2020,121.78,115089200,124.53,125.95,121.00
12/8/2020,124.38,82225510,124.37,124.98,123.09
12/7/2020,123.75,86711990,122.31,124.57,122.25
12/4/2020,122.25,78260420,122.60,122.86,121.52
12/3/2020,122.94,78967630,123.52,123.78,122.21
12/2/2020,123.08,89004200,122.02,123.37,120.89
