TeamName,Odds,Continent,Country,Wins,Time,Opponentwin,Opponenttime,Result
Club Olimpia,1.81,South America,Paraguay,9,118,8,58,Win
Odd Grenland,1.88,Europe,Norway,9,126,11,24,Lose
Hartford Athletic,1.62,America,America,9,2,6,2,Win
Cerro Porteno,1.44,South America,Paraguay,8,108,6,90,Win
Melbourne Victory,1.99,Australia,Austrilia,7,16,6,16,Lose
Kataller Toyama,2.45,Asia,Japan,10,13,6,37,Lose
Roasso Kumamoto,1.87,Asia,Japan,9,51,13,43,Win
AC Nagano Pareiro,1.59,Asia,Japan,8,30,14,40,Win
Azul Claro Numazu,2.42,Asia,Japan,5,43,9,22,Win
Blaublitz Akita,1.87,Asia,Japan,14,55,8,34,Win
FC Politehnica lasi,1.99,Europe,Romania,6,10,6,29,Win
Kagoshima United,2.1,Asia,Japan,5,6,6,12,Lose
Brattvag,1.52,Europe,Norway,9,80,4,71,Win
Sydney FC,2.07,Australia,Australia,12,16,5,8,Win
Sydney United 58 FC,2.1,Australia,Australia,11,62,9,63,Lose
Wollongong Wolves  FC,1.39,Australia,Australia,15,40,9,50,Win
Shanghai East Asia,1.24,Asia,China,12,15,7,10,Win
Newcastle Jet FC,2.12,Europe,England,7,20,8,2,Win
Greenville Triumph,2.35,America,America,11,2,7,2,Lose
Tampa Bay Rowdies,1.98,America,America,7,12,7,27,Win
FK AUDA,1.6,Europe,Latvian,8,29,7,9,Win
Longford Town,1.92,Europe,Ireland,10,96,8,125,Lose
Cabineely FC,2.55,Europe,Ireland,8,53,4,83,Win
Bray,1.57,Europe,Ireland,9,78,5,98,Lose
Wexford ,2.45,Europe,Ireland,0,13,2,133,Win
Dunalk,1.56,Europe,Ireland,9,117,11,91,Lose
FC Dynamo Brest,1.76,Asia,The republic of Brest,9,60,7,60,Win
FC Basel,2.13,Europe,Swiss,10,127,10,122,Lose
St Gallen,1.22,Europe,Swiss,11,141,5,108,Win
Young Boys,1.53,Europe,Swiss,11,122,3,101,Win
FC Luzern,2.02,Europe,Swiss,7,119,8,124,Win
FC Lugano,1.76,Europe,Swiss,9,112,6,130,Win
Rangers FC,1.46,Europe,Scotland,10,148,7,113,Win
Paris Saint Germain FC,1.56,Europe,France,17,50,12,70,Lose
AC Perugia Calcio,2.75,Europe,Italy,5,115,8,113,Lose
Ascoli Calcio ,1.7,Europe,Italy,7,122,13,91,Lose
AC ChievoVerona,2.26,Europe,Italy,8,91,5,84,Win
Beijing Sinobo Guoan,1.45,Asia,China,13,28,8,11,Win
Melbourne City FC,2.5,Australia,Australia,9,12,12,16,Win
Sacramento Republic FC,2.45,America,America,9,8,10,10,Win
Reno 1868 FC,1.77,America,America,9,5,3,6,Win
Louisville City FC,1.47,America,America,12,6,4,5,Lose
Figueirense FC,1.52,South America,Brazil,10,98,10,123,Lose
Shanghai Greenlan Shenhua FC,2.05,Asia,China,9,27,2,26,Win
Perth Glory FC,2.17,Australia,Australia,8,25,9,17,Lose
Centenary Stormers,1.77,Australia,Australia,4,20,7,51,Win
Queensland Lions FC,2.33,Australia,Australia,16,63,18,142,Lose
Peninsula Power,1.58,Australia,Australia,12,20,5,98,Lose
Brisbane Roar FC ,1.47,Australia,Australia,10,15,7,16,Win
Internazionale Milano,1.52,Europe,Italy,11,112,13,116,Win
Atalanta,2.05,Europe,Italy,15,113,6,107,Win
Grasshopper,2.17,Europe,Switzerland,10,134,4,120,Lose
Stjarnan men,2.24,Europe,Iceland,12,60,10,112,Lose
KR Reykjavik ,1.77,Europe,Iceland,14,121,3,32,Win
FN Hafnarf Jordur,2.33,Europe,Iceland,9,91,6,53,Win
Spezia Calcio,1.81,Europe,Italy,11,114,5,106,Lose
Pordenone Calcio,2.42,Europe,Italy,8,100,8,9,Lose
AC Pisa,2.23,Europe,Italy,7,111,7,122,Win
AC Perugia Calcio,2.09,Europe,Italy,5,115,6,115,Lose
Frosinone Calcio,2.37,Europe,Italy,7,92,13,97,Lose
Empoli FC,1.7,Europe,Italy,8,100,7,106,Lose
AC ChievoVerona,2.23,Europe,Italy,6,91,14,91,Win
AS Cittadella,2.31,Europe,Italy,8,47,7,113,Win
SS Lazio,2.12,Europe,Italy,11,120,6,117,Win
Udinese Calcio,2.1,Europe,Italy,6,124,2,100,Win
AS Roma,1.64,Europe,Italy,10,93,7,94,Win
Bologna FC,2.47,Europe,Italy,7,111,7,112,Win
Aston Villa FC,2.34,Europe,England,4,146,6,125,Lose
Southmpton FC,2.15,Europe,England,9,135,10,131,Win
Liverpool,1.47,Europe,England,11,128,7,128,Win
Manchester ,1.06,Europe,England,15,140,5,118,Win
Manchester United,2.22,Europe,England,13,142,6,136,Win
Everton FC,2.25,Europe,England,8,142,4,121,Lose
Tottenham Hotspur FC,1.5,Europe,England,9,138,5,115,Lose
Chelsea FC,1.9,Europe,England,11,115,9,143,Win
Burnley FC,2.32,Europe,England,9,138,3,119,Lose
Arsenal FC,2.1,Europe,England,12,134,6,139,Win
SK Brann,2.26,Europe,Norway,7,112,6,115,Lose
Odd Grenland,1.71,Europe,Norway,6,126,6,106,Win
Guangzhou R&F FC,2.5,Asia,China,6,26,0,26,Lose
Hebei China Fortune FC,2.5,Asia,China,7,10,12,19,Lose
Shandong Luneng Taishan FC,2.3,Asia,China,11,32,5,11,Win
Wuhan Zall FC,1.89,Asia,China,8,11,10,7,Win
Guangzhou Evergrande Taobao FC,1.54,Asia,China,9,86,9,7,Win
Inter Milan,1.64,Europe,Italy,10,112,7,127,Win
Parma Calcio 1913,1.97,Europe,Italy,5,107,2,109,Win
Galatasaray SK,2.15,Europe,Turkey,10,115,8,54,Lose
Vitoria Guimaraes SC,2.25,South America,Portugal,8,98,8,98,Lose
FC Wil,2.15,Europe,Switzerland,5,120,6,118,Win
SSC Napoli,1.58,Europe,Italy,13,116,9,98,Win
FC Lausanne Sport,1.33,Europe,Switzerland,9,124,8,124,Lose
Guangzhou Evergrande Taobao FC,1.56,Asia,China,9,86,9,7,Win
Melbourne Victory,2.5,Australia,Australia,7,16,8,2,Lose
Wellington Phoenix,2.22,Australia,New Zealand,12,13,9,17,Lose
Vikingur Reykjavik,1.38,Europe,Iceland,11,112,8,53,Lose
Stjarnan men,1.76,Europe,Iceland,13,60,10,74,Win
Odense BK,2.1,Europe,Denmark,8,131,8,6,Win
FC Kobenhavn,2.19,Europe,Denmark,6,28,11,135,Win
SFC Opava,1.41,Europe,Czech Republic,5,113,9,101,Win
MFK Karvina,2.18,Europe,Czech Republic,5,17,7,101,Draw
FK Pribram,1.47,Europe,Czech Republic,7,72,8,75,Draw
Cultural Y Deporttiva Leonesa,1.82,Europe,Spain,10,97,6,117,Draw
SC Castellon,1.67,Europe,Spain,8,98,8,85,Lose
FC Barcelona,2.07,Europe,Spain,13,131,11,115,Lose
CD Atletico Baleres,1.94,Europe,Spain,9,76,9,114,Lose
Fulham United FC woman,1.83,Australia,Australia,6,50,11,26,Win
Adelaide Olympic FC,2.01,Australia,Australia,8,42,11,64,Win
Croydon Kings,1.61,Australia,Australia,8,70,9,77,Lose
BSC Young Boys Bern,1.42,Europe,Switzerland,12,122,8,50,Win
Mjallby AIF,2.7,Europe,Sweden,11,81,10,116,Lose
Malmo FF,1.68,Europe,Sweden,10,110,10,123,Win
IK Sirius Fotboll,2.24,Europe,Sweden,9,113,9,110,Lose
IFK Goteorg,1.7,Europe,Sweden,5,116,7,92,Lose
Helsingborgs IF,2.37,Europe,Sweden,4,113,5,112,Lose
Newcastle Jet FC,1.68,Australia,Australia,7,20,3,16,Lose
SS Lazio,1.47,Europe,Italy,11,120,2,100,Win
Juventus FC,1.54,Europe,Italy,11,123,5,124,Lose
Kawasaki Frontale,1.53,Asia,Japan,13,65,8,32,Win
Urawa Red Diamonds,2.4,Asia,Japan,7,70,12,80,Lose
Nagoya Grampus,2.55,Asia,Japan,5,81,5,26,Win
Cerezo Osaka,2.43,Asia,Japan,10,63,7,54,Lose
FC Tokyo,2.42,Asia,Japan,10,85,6,85,Lose
Yokohama F Marinos,1.46,Asia,Japan,13,48,10,22,Win
Kashima Antlers,1.92,Asia,Japan,13,28,4,52,Lose
Sagan Tosu,2.3,Asia,Japan,5,33,5,28,Lose
Gamba Osaka,2.48,Asia,Japan,12,40,7,82,Win
Perth Glory FC,2.55,Australia,Australia,9,25,11,13,Lose
Sydney FC,1.81,Australia,Australia,10,16,6,20,Lose
Juventus FC,1.57,Europe,Italy,10,123,12,100,Win
Wolverhampton Wanderers FC,1.51,Europe,England,8,143,5,115,Win
Sheffield United FC,2.16,Europe,England,10,121,7,142,Lose
Brighton&Hove Albion FC,1.86,Europe,England,3,119,7,128,Lose
Seoul Eland FC,2.9,Asia,Korea,5,6,8,38,Lose
Jeonnam Dragons FC,2.55,Asia,Korea,10,26,11,13,Win
Rayo Vallecano ,1.42,Europe,Spain,5,96,3,107,Win
RC Deportivo De La Coruna,2.06,Europe,Spain,8,114,6,45,Draw
Elche FC,1.53,Europe,Spain,7,97,8,94,Win
Albacete Balompie,2.02,Europe,Spain,4,80,6,110,Win
CD Numancia De Soria,1.45,Europe,Spain,4,75,10,98,Win
CD Lugo,1.46,Europe,Spain,7,67,6,93,Win
AD Alcorcon ,2.23,Europe,Spain,6,49,7,90,Win
UD Las Palmas,1.9,Europe,Spain,4,71,5,13,Win
Gyeongnam FC,2.19,Asia,Korea,5,15,7,3,Lose
Perth Glory FC,2.55,Australia,Australia,9,25,11,13,Lose
Mjallby AIF,2.55,Europe,Sweden,11,81,4,112,Lose
Hammarby IF,1.73,Europe,Sweden,11,123,7,116,Lose
FC Porto,1.35,South America,Portugal,13,127,7,82,Win
SC Braga,1.65,South America,Portugal,13,99,3,87,Lose
Portimonense SC,2.41,South America,Portugal,5,106,7,70,Lose
UD Almeria,2.1,Europe,Spain,8,31,8,72,Lose
SD Huesca,2.19,Europe,Spain,9,98,8,115,Win
Real Zaragoza,2.07,Europe,Spain,7,88,5,98,Win
Consadole Sapporo,2.6,Asia,Japan,8,85,5,32,Draw
Nagoya Grampus,1.81,Asia,Japan,5,81,6,32,Win
Yokohama F Marinos,2.22,Asia,Japan,13,48,7,29,Lose
Brisbane Roar FC ,2.43,Australia,Australia,10,15,10,17,Lose
Perth Glory FC,1.5,Australia,Australia,8,25,4,16,Win
AC Milan,1.49,Europe,Italy,11,121,7,111,Win
Sassuolo Calcio,2.13,Europe,Italy,9,98,2,100,Lose
Atalanta,1.43,Europe,Italy,16,113,6,117,Lose
Burnley FC,2.21,Europe,England,8,138,5,118,Win
Valencia FC,1.59,Europe,Spain,5,101,4,120,Win
Club Atletico De Madrid,2.32,Europe,Spain,10,117,7,37,Win
Athletic Club Bilbao,1.85,Europe,Spain,8,122,6,92,Lose
Southmpton FC,2.25,Europe,England,9,135,3,119,Lose
Manchester United,1.33,Europe,England,13,142,5,115,Win
Leicester City FC,2.06,Europe,England,6,136,11,111,Win
Everton FC,2.09,Europe,England,7,142,4,146,Draw
Eibar FC,2.25,Europe,Spain,6,80,4,92,Win
Nottingham Forest FC,2.48,Europe,England,6,155,6,108,Lose
